connectome_id,connectome_type,canonical_type,connectome,connectome_ver
720575940640062005,OA-ASM1,ASM1,fafb,v783
720575940624537578,OA-ASM1,ASM1,fafb,v783
720575940629494022,OA-ASM1,ASM1,fafb,v783
720575940628443962,OA-ASM1,ASM1,fafb,v783
720575940627447939,OA-ASM2,ASM2/3,fafb,v783
720575940635618711,OA-ASM2,ASM2/3,fafb,v783
720575940609765333,OA-ASM3,ASM2/3,fafb,v783
720575940618649920,OA-ASM3,ASM2/3,fafb,v783
720575940615086698,SMP143,ASM4,fafb,v783
720575940622400648,SMP143,ASM4,fafb,v783
720575940630882263,SMP143,ASM4,fafb,v783
720575940626050599,SMP143,ASM4,fafb,v783
720575940637293687,SMP142,ASM5,fafb,v783
720575940633356881,SMP142,ASM5,fafb,v783
720575940635120491,SMP142,ASM5,fafb,v783
720575940612302042,SMP142,ASM5,fafb,v783
720575940631180599,OA-AL2i1,AL2i1,fafb,v783
720575940622516852,OA-AL2i1,AL2i1,fafb,v783
720575940622313398,OA-AL2i2,AL2i2,fafb,v783
720575940620065694,OA-AL2i2,AL2i2,fafb,v783
720575940638720233,OA-AL2i2,AL2i2,fafb,v783
720575940631608313,OA-AL2i2,AL2i2,fafb,v783
720575940615429118,OA-AL2i3,AL2i3,fafb,v783
720575940629488902,OA-AL2i3,AL2i3,fafb,v783
720575940616984588,OA-AL2i3,AL2i3,fafb,v783
720575940623025413,OA-AL2i3,AL2i3,fafb,v783
720575940611719378,OA-AL2i4,AL2i4,fafb,v783
720575940631584876,OA-AL2i4,AL2i4,fafb,v783
720575940621638534,OA-AL2b1,AL2b1,fafb,v783
720575940615127471,OA-AL2b1,AL2b1,fafb,v783
720575940644751652,DNg34,VPM1,fafb,v783
720575940620543025,DNg34,VPM1,fafb,v783
720575940623503318,DNg104,VPM2,fafb,v783
720575940631282194,DNg104,VPM2,fafb,v783
720575940640356149,OA-VPM3,VPM3,fafb,v783
720575940644745120,OA-VPM3,VPM3,fafb,v783
720575940636574388,OA-VPM4,VPM4,fafb,v783
720575940625264457,OA-VPM4,VPM4,fafb,v783
720575940633631396,OA-VUMa1,VUMa1,fafb,v783
720575940613891442,OA-VUMa1,VUMa1,fafb,v783
720575940636576948,OA-VUMa2,VUMa2,fafb,v783
720575940631942341,OA-VUMa2,VUMa2,fafb,v783
720575940623164515,OA-VUMa3,VUMa3,fafb,v783
720575940626051514,OA-VUMa3,VUMa3,fafb,v783
720575940636479668,OA-VUMa4,VUMa4,fafb,v783
720575940630460919,OA-VUMa4,VUMa4,fafb,v783
720575940626741552,OA-VUMa5,VUMa5,fafb,v783
720575940628861188,OA-VUMa5,VUMa5,fafb,v783
720575940615160239,OA-VUMa6,VUMa6/7,fafb,v783
720575940613635737,OA-VUMa6,VUMa6/7,fafb,v783
720575940624394790,OA-VUMa8,VUMa8,fafb,v783
720575940627790991,DNge138,VUMd1,fafb,v783
720575940611108676,DNge138,VUMd1,fafb,v783
720575940607384242,DNge149,VUMd2(1),fafb,v783
720575940622237466,DNge152,VUMd2(2),fafb,v783
720575940630956345,DNg66,VUMd3(1),fafb,v783
720575940625489160,DNge150,VUMd3(2),fafb,v783
720575940616167986,DNge151,VUMd4,fafb,v783
720575940627771279,DNd02,VL1,fafb,v783
720575940621388453,DNd02,VL1,fafb,v783
720575940627482114,DNd03,VL2,fafb,v783
720575940614660263,DNd03,VL2,fafb,v783
286259,OA-ASM1,ASM1,mcns,v0.9
12688,OA-ASM1,ASM1,mcns,v0.9
11602,OA-ASM1,ASM1,mcns,v0.9
11264,OA-ASM1,ASM1,mcns,v0.9
23850,OA-ASM2,ASM2/3,mcns,v0.9
524503,OA-ASM2,ASM2/3,mcns,v0.9
531133,OA-ASM3,ASM2/3,mcns,v0.9
13959,OA-ASM3,ASM2/3,mcns,v0.9
517050,SMP143,ASM4,mcns,v0.9
25396,SMP143,ASM4,mcns,v0.9
22386,SMP143,ASM4,mcns,v0.9
17194,SMP143,ASM4,mcns,v0.9
522789,SMP142,ASM5,mcns,v0.9
521292,SMP145,ASM5,mcns,v0.9
519866,SMP142,ASM5,mcns,v0.9
36245,SMP145,ASM5,mcns,v0.9
10011,OA-AL2i1,AL2i1,mcns,v0.9
10072,OA-AL2i1,AL2i1,mcns,v0.9
10204,OA-AL2i2,AL2i2,mcns,v0.9
10322,OA-AL2i2,AL2i2,mcns,v0.9
10269,OA-AL2i2,AL2i2,mcns,v0.9
10265,OA-AL2i2,AL2i2,mcns,v0.9
10658,OA-AL2i3,AL2i3,mcns,v0.9
10687,OA-AL2i3,AL2i3,mcns,v0.9
10825,OA-AL2i3,AL2i3,mcns,v0.9
10226,OA-AL2i3,AL2i3,mcns,v0.9
10652,OA-AL2i4,AL2i4,mcns,v0.9
10677,OA-AL2i4,AL2i4,mcns,v0.9
10432,LoVCLo3,AL2b1,mcns,v0.9
10100,LoVCLo3,AL2b1,mcns,v0.9
13585,DNg34,VPM1,mcns,v0.9
10295,DNg34,VPM1,mcns,v0.9
12249,DNg104,VPM2,mcns,v0.9
11302,DNg104,VPM2,mcns,v0.9
10187,OA-VPM3,VPM3,mcns,v0.9
287884,OA-VPM3,VPM3,mcns,v0.9
10120,OA-VPM4,VPM4,mcns,v0.9
11921,OA-VPM4,VPM4,mcns,v0.9
10041,OA-VUMa1,VUMa1,mcns,v0.9
10110,OA-VUMa1,VUMa1,mcns,v0.9
11608,OA-VUMa2,VUMa2,mcns,v0.9
12109,OA-VUMa2,VUMa2,mcns,v0.9
10080,OA-VUMa3,VUMa3,mcns,v0.9
10555,OA-VUMa3,VUMa3,mcns,v0.9
11005,OA-VUMa4,VUMa4,mcns,v0.9
10799,OA-VUMa4,VUMa4,mcns,v0.9
13303,OA-VUMa5,VUMa5,mcns,v0.9
12896,OA-VUMa5,VUMa5,mcns,v0.9
10168,OA-VUMa6,VUMa6/7,mcns,v0.9
10175,OA-VUMa6,VUMa6/7,mcns,v0.9
10185,OA-VUMa8,VUMa8,mcns,v0.9
10447,DNge138,VUMd1,mcns,v0.9
12151,DNge138,VUMd1,mcns,v0.9
11466,DNge149,VUMd2(1),mcns,v0.9
11540,DNge152,VUMd2(2),mcns,v0.9
13432,DNg66,VUMd3(1),mcns,v0.9
12405,DNge150,VUMd3(2),mcns,v0.9
14387,DNge151,VUMd4,mcns,v0.9
11160,DNd02,VL1,mcns,v0.9
63701,DNd02,VL1,mcns,v0.9
11693,DNd03,VL2,mcns,v0.9
11486,DNd03,VL2,mcns,v0.9
10210,DNg34,VPM1,manc,v1.2.1
10217,DNg34,VPM1,manc,v1.2.1
15950,DNg104,VPM2,manc,v1.2.1
16553,DNg104,VPM2,manc,v1.2.1
17004,DNxn156,VUMd1,manc,v1.2.1
19367,DNxn156,VUMd1,manc,v1.2.1
16333,DNxn158,VUMd1,manc,v1.2.1
154401,DNxn158,VUMd1,manc,v1.2.1
11961,DNxl126,VUMd2,manc,v1.2.1
11254,DNxl126,VUMd2,manc,v1.2.1
13496,DNut059,VUMd2,manc,v1.2.1
14026,DNut059,VUMd2,manc,v1.2.1
12574,DNg66,VUMd3,manc,v1.2.1
13020,DNg66,VUMd3,manc,v1.2.1
12613,DNxn103,VUMd3,manc,v1.2.1
13548,DNxn103,VUMd3,manc,v1.2.1
17376,DNad005,VUMd4,manc,v1.2.1
13750,DNad005,VUMd4,manc,v1.2.1
10194,DNd02,VL1,manc,v1.2.1
10526,DNd02,VL1,manc,v1.2.1
10410,DNd03,VL2,manc,v1.2.1
10491,DNd03,VL2,manc,v1.2.1
